experiment,model,feature,importance
microstructure_only,logistic_regression,high_low_spread,0.5623806192147173
microstructure_only,logistic_regression,close_to_vwap,0.12800556458202955
microstructure_only,logistic_regression,log_traded_value,0.11511868279848754
microstructure_only,logistic_regression,log_traded_volume,0.11211438898337055
microstructure_only,logistic_regression,log_n_trades,0.07955865326492835
microstructure_only,logistic_regression,vwap_to_open,0.002822091156466653
microstructure_only,random_forest,close_to_vwap,0.20572740359052782
microstructure_only,random_forest,vwap_to_open,0.1901722010145529
microstructure_only,random_forest,log_traded_volume,0.17301317677590394
microstructure_only,random_forest,log_traded_value,0.17240389591464356
microstructure_only,random_forest,high_low_spread,0.14038219486350825
microstructure_only,random_forest,log_n_trades,0.11830112784086358
microstructure_only,gradient_boosting,log_traded_value,0.22783609772102206
microstructure_only,gradient_boosting,close_to_vwap,0.2078187913272359
microstructure_only,gradient_boosting,vwap_to_open,0.1672890512757357
microstructure_only,gradient_boosting,log_traded_volume,0.16373320409000378
microstructure_only,gradient_boosting,high_low_spread,0.13264150056333754
microstructure_only,gradient_boosting,log_n_trades,0.10068135502266513
microstructure_plus_sentiment,logistic_regression,high_low_spread,0.5623806192147016
microstructure_plus_sentiment,logistic_regression,close_to_vwap,0.12800556458198223
microstructure_plus_sentiment,logistic_regression,log_traded_value,0.1151186827984956
microstructure_plus_sentiment,logistic_regression,log_traded_volume,0.1121143889833265
microstructure_plus_sentiment,logistic_regression,log_n_trades,0.07955865326498418
microstructure_plus_sentiment,logistic_regression,vwap_to_open,0.0028220911565098126
microstructure_plus_sentiment,logistic_regression,sentiment_mean,0.0
microstructure_plus_sentiment,logistic_regression,sentiment_std,0.0
microstructure_plus_sentiment,logistic_regression,sentiment_count,0.0
microstructure_plus_sentiment,logistic_regression,sentiment_positive_ratio,0.0
microstructure_plus_sentiment,logistic_regression,sentiment_negative_ratio,0.0
microstructure_plus_sentiment,random_forest,close_to_vwap,0.19680743080074756
microstructure_plus_sentiment,random_forest,vwap_to_open,0.1867305305574326
microstructure_plus_sentiment,random_forest,log_traded_volume,0.18248318650398485
microstructure_plus_sentiment,random_forest,log_traded_value,0.1788387946614519
microstructure_plus_sentiment,random_forest,high_low_spread,0.13867363748813313
microstructure_plus_sentiment,random_forest,log_n_trades,0.11646641998825
microstructure_plus_sentiment,random_forest,sentiment_mean,0.0
microstructure_plus_sentiment,random_forest,sentiment_std,0.0
microstructure_plus_sentiment,random_forest,sentiment_count,0.0
microstructure_plus_sentiment,random_forest,sentiment_positive_ratio,0.0
microstructure_plus_sentiment,random_forest,sentiment_negative_ratio,0.0
microstructure_plus_sentiment,gradient_boosting,log_traded_value,0.22681201189829503
microstructure_plus_sentiment,gradient_boosting,close_to_vwap,0.21016390017735778
microstructure_plus_sentiment,gradient_boosting,vwap_to_open,0.16723934999986542
microstructure_plus_sentiment,gradient_boosting,log_traded_volume,0.16310582653598452
microstructure_plus_sentiment,gradient_boosting,high_low_spread,0.1300141325486157
microstructure_plus_sentiment,gradient_boosting,log_n_trades,0.10266477883988158
microstructure_plus_sentiment,gradient_boosting,sentiment_mean,0.0
microstructure_plus_sentiment,gradient_boosting,sentiment_std,0.0
microstructure_plus_sentiment,gradient_boosting,sentiment_count,0.0
microstructure_plus_sentiment,gradient_boosting,sentiment_positive_ratio,0.0
microstructure_plus_sentiment,gradient_boosting,sentiment_negative_ratio,0.0
